PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1642800,57,Aneesah Morrow,1611661323,CON,41,18.9,2.7,7.3,0.375,0.4,1.8,0.24,1.8,2.3,0.758,2.0,4.8,6.9,0.5,0.8,0.4,1.1,7.7,10.0
1631019,58,NaLyssa Smith,1611661319,LVA,45,21.2,3.0,5.9,0.502,0.2,0.6,0.296,1.5,2.4,0.611,1.6,3.5,5.1,0.7,0.6,0.6,1.1,7.6,9.6
1628899,59,Myisha Hines-Allen,1611661321,DAL,40,22.1,2.8,6.2,0.45,0.4,1.5,0.267,1.6,2.1,0.747,1.5,4.6,6.0,2.9,0.8,0.5,2.2,7.6,11.6
1642793,60,Aziaha James,1611661321,DAL,38,17.7,2.8,7.5,0.373,0.8,2.9,0.286,1.1,1.4,0.745,0.9,2.0,2.9,1.6,0.6,0.2,1.0,7.5,6.7
1627701,61,Temi Fágbénlé,1611661331,GSV,39,23.7,3.2,6.4,0.502,0.3,1.6,0.194,0.7,0.9,0.722,1.8,3.1,4.9,1.6,0.9,0.6,1.5,7.4,10.4
1630134,62,Sug Sutton,1611661322,WAS,43,26.1,2.8,6.6,0.422,1.0,2.8,0.353,0.9,1.1,0.771,0.2,1.6,1.8,3.9,0.8,0.1,1.9,7.4,7.9
1642304,63,Carla Leite,1611661331,GSV,37,17.2,2.3,6.0,0.387,0.4,2.0,0.173,2.2,2.7,0.838,0.2,1.1,1.3,2.0,0.7,0.1,1.5,7.2,5.7
1631086,64,Lexie Hull,1611661325,IND,44,27.0,2.7,6.8,0.395,1.3,3.4,0.367,0.6,0.8,0.722,1.4,2.9,4.3,1.8,1.2,0.2,0.9,7.2,9.4
1628915,65,Kia Nurse,1611661329,CHI,44,21.9,2.3,6.6,0.354,1.4,4.1,0.335,1.1,1.4,0.79,0.4,1.9,2.3,1.3,0.3,0.0,1.3,7.2,5.3
1630389,66,Dana Evans,1611661319,LVA,44,17.7,2.4,6.3,0.389,0.8,2.3,0.366,0.9,1.2,0.755,0.2,0.9,1.1,2.2,0.4,0.1,0.8,6.6,5.4
1629524,67,Bridget Carleton,1611661324,MIN,44,27.9,2.3,5.8,0.402,1.4,3.8,0.373,0.4,0.6,0.72,0.9,2.7,3.6,2.0,0.8,0.3,0.8,6.5,8.8
1642808,68,JJ Quinerly,1611661321,DAL,34,15.9,2.4,5.5,0.426,0.6,1.6,0.389,1.1,1.3,0.867,0.5,1.3,1.9,2.3,0.9,0.2,1.5,6.5,6.8
1629546,69,Marine Johannès,1611661313,NYL,44,18.3,2.3,5.7,0.397,1.5,4.3,0.344,0.4,0.4,0.842,0.3,1.6,1.9,1.6,0.6,0.3,1.2,6.4,6.0
1630097,70,Kaila Charles,1611661331,GSV,35,17.6,2.3,5.4,0.42,0.7,2.1,0.347,1.1,1.4,0.816,1.3,2.9,4.3,1.0,0.8,0.2,1.1,6.4,8.2
1642324,71,Kate Martin,1611661331,GSV,42,16.4,2.0,6.3,0.323,1.4,4.4,0.31,0.8,1.0,0.78,0.5,2.2,2.7,1.0,0.4,0.1,0.8,6.2,5.0
1629574,72,Li Yueru,1611661321,DAL,31,16.8,2.0,4.9,0.405,0.6,1.8,0.364,1.4,1.6,0.86,1.7,2.9,4.5,0.9,0.3,0.3,1.0,6.0,8.0
1629490,73,Kitija Laksa,1611661317,PHX,33,19.0,2.0,5.5,0.367,1.2,3.6,0.317,0.8,1.0,0.813,0.3,0.9,1.2,0.6,0.4,0.2,0.6,5.9,4.1
1631141,74,Jade Melbourne,1611661322,WAS,43,23.4,2.1,5.2,0.4,0.6,2.2,0.274,1.1,1.7,0.671,0.4,1.5,1.9,2.9,0.6,0.2,1.7,5.9,6.1
1630446,75,Michaela Onyenwere,1611661329,CHI,42,16.9,2.1,5.0,0.422,0.6,1.6,0.353,1.0,1.2,0.843,0.4,1.2,1.6,1.1,0.4,0.1,1.3,5.8,4.7
1642804,76,Te-Hina Paopao,1611661330,ATL,43,16.7,2.2,5.1,0.44,1.2,3.1,0.386,0.2,0.3,0.538,0.2,1.4,1.6,2.4,0.5,0.2,1.0,5.8,6.5
1630471,77,Maya Caldwell,1611661330,ATL,41,18.5,2.0,4.8,0.426,1.0,2.7,0.355,0.4,0.5,0.8,0.8,2.3,3.1,1.8,0.9,0.2,1.0,5.4,7.6
1642290,78,Aaliyah Edwards,1611661323,CON,36,14.8,1.9,4.3,0.448,0.0,0.3,0.0,1.6,2.4,0.644,1.3,2.4,3.7,0.6,0.6,0.4,1.1,5.4,6.3
1627700,79,Julie Allemand,1611661320,LAS,34,28.3,2.1,4.7,0.44,0.8,3.0,0.277,0.4,0.6,0.789,0.4,3.4,3.7,5.0,1.3,0.0,1.6,5.4,11.2
1631118,80,Lexi Held,1611661317,PHX,32,14.7,1.9,5.1,0.378,0.9,2.8,0.308,0.6,0.7,0.818,0.3,0.7,1.1,1.1,0.7,0.2,0.9,5.3,4.2
1628957,81,Kathryn Westbeld,1611661317,PHX,43,18.4,1.8,5.0,0.358,1.0,3.0,0.321,0.6,0.7,0.781,0.7,1.8,2.5,0.9,0.8,0.6,0.6,5.1,6.0
204296,82,Rebecca Allen,1611661329,CHI,44,18.7,1.9,5.5,0.342,1.0,3.0,0.318,0.4,0.7,0.613,0.4,2.2,2.6,1.3,0.5,0.5,0.9,5.1,5.3
204330,83,Isabelle Harrison,1611661313,NYL,34,10.6,1.9,3.9,0.485,0.1,0.4,0.267,1.0,1.3,0.767,0.9,1.8,2.6,0.7,0.6,0.1,0.7,4.9,5.9
1630442,84,Natasha Mack,1611661317,PHX,34,18.3,2.1,3.6,0.573,0.0,0.1,0.0,0.5,1.1,0.472,2.3,3.5,5.8,0.9,0.9,1.5,0.4,4.7,11.2
203024,85,Damiris Dantas,1611661325,IND,38,11.6,1.7,4.8,0.348,0.7,2.5,0.263,0.6,0.7,0.857,0.7,1.7,2.4,0.7,0.2,0.1,0.8,4.6,3.9
1628926,86,Maria Kliundikova,1611661324,MIN,34,11.0,1.9,3.8,0.5,0.2,0.7,0.32,0.4,0.6,0.571,1.3,1.7,3.0,0.6,0.7,0.8,0.7,4.4,6.6
1631006,87,Kierstan Bell,1611661319,LVA,35,12.2,1.5,4.4,0.338,0.9,2.9,0.291,0.3,0.4,0.8,0.6,1.2,1.8,0.7,0.4,0.3,0.5,4.2,3.8
1642802,88,Lucy Olsen,1611661322,WAS,41,12.4,1.6,3.9,0.415,0.5,1.7,0.271,0.3,0.4,0.824,0.3,0.9,1.2,1.2,0.4,0.1,0.5,4.0,4.0
1641649,89,Diamond Miller,1611661321,DAL,40,10.9,1.4,3.4,0.403,0.4,1.3,0.333,0.9,1.2,0.761,0.3,1.0,1.3,0.8,0.3,0.2,0.9,4.0,3.4
202252,90,Alysha Clark,1611661322,WAS,42,19.7,1.4,3.8,0.371,0.6,2.3,0.271,0.5,0.6,0.731,0.4,2.4,2.8,1.2,0.6,0.1,0.5,3.9,5.5
1628269,91,Nia Coffey,1611661330,ATL,44,10.3,1.3,3.3,0.374,0.5,1.9,0.293,0.8,1.1,0.72,0.6,2.0,2.6,1.0,0.2,0.4,0.7,3.9,5.0
1642801,92,Aaliyah Nye,1611661319,LVA,44,15.3,1.3,3.9,0.345,0.8,2.7,0.314,0.3,0.4,0.824,0.3,1.2,1.5,0.5,0.3,0.2,0.6,3.8,3.2
203828,93,Stefanie Dolson,1611661322,WAS,43,15.2,1.4,3.3,0.423,0.6,1.7,0.36,0.3,0.5,0.7,0.4,1.9,2.3,1.4,0.3,0.3,0.7,3.7,5.3
203822,94,Rebekah Gardner,1611661313,NYL,41,12.2,1.3,2.7,0.5,0.5,1.0,0.476,0.5,0.7,0.815,0.7,1.1,1.8,0.6,0.6,0.2,0.6,3.7,4.9
1631083,95,Emily Engstler,1611661322,WAS,40,12.8,1.3,3.4,0.396,0.4,1.6,0.254,0.6,0.9,0.667,0.9,2.3,3.3,1.5,0.7,0.7,1.0,3.7,6.5
1627676,96,Tiffany Mitchell,1611661328,SEA,39,13.1,1.0,2.6,0.392,0.3,0.8,0.367,0.9,1.2,0.745,0.3,0.8,1.1,0.3,0.4,0.2,0.6,3.2,2.7
1642782,97,Sarah Ashlee Barker,1611661320,LAS,34,14.1,1.0,3.1,0.337,0.5,1.8,0.295,0.5,0.7,0.708,0.3,1.6,1.9,0.9,0.3,0.1,1.1,3.1,3.1
203855,98,Stephanie Talbot,1611661313,NYL,38,14.2,1.0,2.7,0.375,0.4,1.5,0.286,0.5,0.7,0.643,0.7,2.0,2.7,1.7,0.5,0.2,1.1,2.9,5.0
1642210,99,Julie Vanloo,1611661320,LAS,35,12.8,0.9,3.2,0.297,0.7,2.6,0.272,0.2,0.3,0.8,0.1,0.8,0.9,1.9,0.4,0.0,1.4,2.8,2.4
1642815,100,Makayla Timpson,1611661325,IND,31,7.1,1.0,1.8,0.561,0.0,0.0,0.0,0.6,0.9,0.667,0.6,1.3,1.8,0.0,0.4,0.3,0.3,2.6,3.8
1628263,101,Lindsay Allen,1611661323,CON,31,14.5,0.8,2.1,0.4,0.1,0.6,0.167,0.6,0.7,0.826,0.3,0.7,1.0,2.0,0.3,0.2,1.0,2.4,3.5
203863,102,Haley Peters,1611661323,CON,33,11.5,0.8,2.5,0.305,0.2,1.2,0.205,0.3,0.4,0.769,0.8,1.5,2.2,0.8,0.3,0.1,0.7,2.1,3.0
1628278,103,Shatori Walker-Kimbrough,1611661330,ATL,41,8.6,0.6,1.5,0.413,0.3,0.8,0.355,0.2,0.3,0.727,0.1,0.8,0.9,0.5,0.2,0.3,0.4,1.7,2.3
204329,104,Kiah Stokes,1611661319,LVA,40,12.9,0.5,1.3,0.353,0.1,0.6,0.13,0.1,0.2,0.625,0.7,2.9,3.6,0.4,0.4,0.4,0.4,1.1,4.6
